"date","UE","UN","EU","EN","NU","NE"
1980-01-01,0.210754679253859,0.0476200420142409,0.0159516473335693,0.00813237034698047,0.0257252139798262,0
1980-02-01,0.217399376339082,0.0522843788672564,0.0154778895024845,0.00761759506519563,0.0295214460657612,0
1980-03-01,0.244032579046317,0.0496193366468699,0.0168026624075117,0.00767631363226837,0.0286528249161173,0
1980-04-01,0.220046305255836,0.0461563451131726,0.0159666671793078,0.00780014799772135,0.0273723863629944,0
1980-05-01,0.215755664155766,0.0513753164641157,0.0179519325674059,0.00862315595076133,0.0256339655645489,0
1980-06-01,0.22365845968221,0.051911301620976,0.0201237597062259,0.00813522838566549,0.0278308948674337,0
1980-07-01,0.214091607628467,0.0484029068193856,0.0194150384945228,0.00852883149036017,0.0286010275213779,0
1980-08-01,0.205813390555731,0.050265200544374,0.0212826785878509,0.0106923655241139,0.0277788791670314,0
1980-09-01,0.219060827552576,0.0532574540560034,0.0202483021509067,0.0108184091261886,0.0299690227524687,0
1980-10-01,0.222688089984561,0.0467083863325982,0.0195470565772697,0.0105976014197287,0.0304003580861895,0
1980-11-01,0.207630846334253,0.050574030216354,0.0203195921010148,0.0104342247833243,0.0283876530218567,0
1980-12-01,0.209925422874772,0.0487022439658783,0.0180439966673342,0.0100936759123618,0.0293017455348461,0
1981-01-01,0.220548981086966,0.0517277794394763,0.0191359955558297,0.0114980680488729,0.0304976239525165,0
1981-02-01,0.193230319810796,0.0526020027628615,0.0182291090541346,0.00908591840652782,0.028449841920693,0
1981-03-01,0.195545239562384,0.051301274900846,0.0194953355437479,0.0120537697549098,0.0304433516818803,0
1981-04-01,0.220996223127131,0.0522640809475697,0.0172060743488995,0.00803651692256101,0.0298667496059877,0
1981-05-01,0.226909103870793,0.0444199366106577,0.0179579776594243,0.00848006031311317,0.0292108689380723,0
1981-06-01,0.198172067555644,0.0495598339878072,0.0186914858506285,0.0100871329067599,0.0295382507526308,0
1981-07-01,0.213233046231049,0.048258577365325,0.0175225787732181,0.008180988394213,0.029203634281215,0
1981-08-01,0.216335238303419,0.0515696715763758,0.0184083328789452,0.0098592715139625,0.0303561715687077,0
1981-09-01,0.201253891956483,0.0511061111611922,0.0173718321363028,0.00841092097807454,0.0270573229215361,0
1981-10-01,0.208275395250054,0.055428863504245,0.0180751994044785,0.00997560806809358,0.0308164812650435,0
1981-11-01,0.222595667950415,0.0505108290104747,0.0181520580547936,0.00729622349822702,0.030790960826054,0
1981-12-01,0.207731666717017,0.0508946155473612,0.0211628510781187,0.00871150890113306,0.0305792895602542,0
1982-01-01,0.215015095622372,0.0539971250191817,0.0210250175667513,0.00997419162985157,0.028931843414489,0
1982-02-01,0.206671715684899,0.056070231697235,0.0193788165867965,0.00952998469035571,0.0308801981432386,0
1982-03-01,0.204787186444364,0.0583344685299176,0.0197682163978652,0.00999884882491922,0.0307443407217447,0
1982-04-01,0.195728303287697,0.0567694366010322,0.0226207015228252,0.0114637496330504,0.031744898879382,0
1982-05-01,0.198617531732728,0.0542558320339863,0.0191422140026676,0.00796730000172851,0.0333958561915572,0
1982-06-01,0.197039232529396,0.0598114541619557,0.0205956575493997,0.0105536600525609,0.031440744937234,0
1982-07-01,0.178868626954017,0.0518527180192046,0.0207592644256314,0.0102414275827022,0.0312780924082273,0
1982-08-01,0.19908987921239,0.0549928481062429,0.0194785778635185,0.00787635971150511,0.0321488894744861,0
1982-09-01,0.195930137780891,0.0499190194555405,0.0203917848653034,0.00915895228226707,0.0327547847295621,0
1982-10-01,0.192180825071242,0.0521073319708759,0.0211943581048973,0.00858723418371211,0.0317439891663367,0
1982-11-01,0.186240404425302,0.0471812490896374,0.0216505256399117,0.0092645512464123,0.0335642809196892,0
1982-12-01,0.178063738455445,0.0480835197067183,0.0234609322352418,0.00960645409275608,0.0343768053606702,0
1983-01-01,0.187011817947434,0.0583686140008973,0.0207159381865604,0.00999875707472845,0.0361748510092156,0
1983-02-01,0.185139690710277,0.0494659392704284,0.0223923497890443,0.0119115479196277,0.0340591255262306,0
1983-03-01,0.173357384838151,0.0507213825383124,0.0203329046382725,0.0119273124455529,0.0322826449643583,0
1983-04-01,0.167655171376281,0.047233987730733,0.0203908048668142,0.0102205221448032,0.0328940413125309,0
1983-05-01,0.177595632087136,0.0526440489015011,0.0230487847963991,0.0126868034714612,0.0340839365331051,0
1983-06-01,0.171349361054001,0.0477035417264978,0.0224454043900688,0.0126946453403869,0.0355511026478246,0
1983-07-01,0.184241470197735,0.0594909811674265,0.0211310768258198,0.0113558858587548,0.0318003064667958,0
1983-08-01,0.18784920249302,0.051030813117635,0.020734117132998,0.0119425457496458,0.0348762477333125,0
1983-09-01,0.190836493428982,0.0454426406628863,0.0210740868162342,0.00865207472601808,0.0333780540147279,0
1983-10-01,0.19148181457605,0.0545340632485224,0.0212968128475447,0.010690954852892,0.0344067941718115,0
1983-11-01,0.194998198500153,0.0499021581433258,0.0200214766397041,0.0118744456958585,0.032583544761101,0
1983-12-01,0.183806648125649,0.0493473887695534,0.0194895142477406,0.0107587235648801,0.0326686143633437,0
1984-01-01,0.201670597531369,0.0459570118331333,0.0216238115411678,0.00945657010479588,0.0333450464472907,0
1984-02-01,0.209509912940212,0.056983447841098,0.0195256244203536,0.0103693436077032,0.0326336544049168,0
1984-03-01,0.20044482718292,0.0545191388558383,0.0196210677926935,0.0105400613924438,0.0306739018079746,0
1984-04-01,0.195001249654266,0.0498100549388659,0.0202987865820324,0.0107711038417468,0.030174308563464,0
