"date","shours_u","shours_a","qhours_u","qhours_a"
1985-08-01,14567710204.9725,14256557498.0502,35537420246.8249,35320900954.7534
1985-09-01,14344002155.1841,14286650639.1304,35552494591.6767,35426428880.1031
1985-10-01,14367866957.606,14312251706.7105,35953093799.498,35521372668.925
1985-11-01,14300948840.3573,14337852774.2906,35696536801.0551,35616316457.7468
1985-12-01,14282264739.7902,14361753025.88,35648227484.9999,35713839858.1123
1986-01-01,14084431365.492,14385653277.4695,35272958531.6063,35811363258.4778
1986-02-01,14163693280.356,14416205966.0541,35695411468.3472,35924849838.7878
1986-03-01,14293544369.8657,14446758654.6387,35951717056.9862,36038336419.0978
1986-04-01,14358002424.7048,14478798421.1777,35969722842.484,36157971438.5659
1986-05-01,14481434862.9576,14510838187.7167,36073880201.6185,36277606458.034
1986-06-01,14775062281.3269,14539846051.2083,36587151050.6365,36388797772.0396
1986-07-01,14883058623.6949,14568853914.6998,36759158988.7682,36499989086.0452
1986-08-01,14907990111.9502,14596837405.0279,36824781160.0666,36608261867.9951
1986-09-01,14682172411.4097,14624820895.356,36842600361.5187,36716534649.945
1986-10-01,14709397143.1411,14653781892.2456,37252627549.784,36820906419.211
1986-11-01,14645838955.2018,14682742889.1351,37005498531.7852,36925278188.477
1986-12-01,14635189113.2215,14714677399.3113,36963551094.2199,37029163467.3323
1987-01-01,14445389997.51,14746611909.4875,36594644019.3161,37133048746.1876
1987-02-01,14533975260.6691,14786487946.3671,37025762657.9659,37255201028.4065
1987-03-01,14673149698.4738,14826363983.2468,37290733948.5138,37377353310.6254
1987-04-01,14749999618.7359,14870795615.2088,37329386758.7923,37517635354.8742
1987-05-01,14885823922.4118,14915227247.1709,37454191142.7075,37657917399.123
1987-06-01,15194515829.0138,14959299598.8952,37992154843.6182,37793801565.0213
1987-07-01,15317576659.6146,15003371950.6195,38188855633.6426,37929685730.9196
1987-08-01,15353634938.6793,15042482231.757,38258043075.047,38041523782.9756
1987-09-01,15138944028.9482,15081592512.8946,38279427546.6052,38153361835.0315
1987-10-01,15168267475.6485,15112652224.753,38675002206.1461,38243281075.5731
1987-11-01,15106808002.6781,15143711936.6114,38413420659.4228,38333200316.1146
1987-12-01,15090644375.7205,15170132661.8102,38354552261.4138,38420164634.5262
1988-01-01,14895331475.0317,15196553387.0091,37968724226.0662,38507128952.9377
1988-02-01,14972306127.8317,15224818813.5298,38368477198.626,38597915569.0665
1988-03-01,15099869955.2774,15253084240.0504,38602082823.0838,38688702185.1954
1988-04-01,15160908751.7022,15281704748.1752,38589196373.0896,38777444969.1715
1988-05-01,15280921931.5408,15310325256.2999,38662461496.7321,38866187753.1476
1988-06-01,15574925704.4642,15339709474.3455,39150797624.0824,38952444345.4854
1988-07-01,15683298401.3862,15369093692.3911,39297870840.5462,39038700937.8232
1988-08-01,15708552934.2489,15397400227.3267,39336529617.8207,39120010325.7492
1988-09-01,15483058278.3159,15425706762.2622,39327385425.2489,39201319713.6752
